fiscal_week,avg_passenger,fiscal_year,fiscal_label,week_start,week_end
1,4901.708333333333,2023,FY2023-2024,10-01,10-07
2,1133.4107142857142,2023,FY2023-2024,10-08,10-14
3,1027.2916666666667,2023,FY2023-2024,10-15,10-21
4,1216.8690476190477,2023,FY2023-2024,10-22,10-28
5,946.3630952380952,2023,FY2023-2024,10-29,11-04
6,879.1904761904761,2023,FY2023-2024,11-05,11-11
7,806.6488095238095,2023,FY2023-2024,11-12,11-18
8,689.0357142857143,2023,FY2023-2024,11-19,11-25
9,718.1845238095239,2023,FY2023-2024,11-26,12-02
10,774.0952380952381,2023,FY2023-2024,12-03,12-09
11,807.0416666666666,2023,FY2023-2024,12-10,12-16
12,788.0357142857143,2023,FY2023-2024,12-17,12-23
13,569.764880952381,2023,FY2023-2024,12-24,12-30
14,597.7619047619048,2023,FY2023-2024,12-31,01-06
15,490.125,2023,FY2023-2024,01-07,01-13
16,553.172619047619,2023,FY2023-2024,01-14,01-20
17,543.4642857142857,2023,FY2023-2024,01-21,01-27
18,766.4880952380952,2023,FY2023-2024,01-28,02-03
19,718.5535714285714,2023,FY2023-2024,02-04,02-10
20,1283.1011904761904,2023,FY2023-2024,02-11,02-17
21,690.9642857142857,2023,FY2023-2024,02-18,02-24
22,752.1517857142857,2023,FY2023-2024,02-25,03-02
23,767.5654761904761,2023,FY2023-2024,03-03,03-09
24,888.5,2023,FY2023-2024,03-10,03-16
25,1053.875,2023,FY2023-2024,03-17,03-23
26,995.375,2023,FY2023-2024,03-24,03-30
27,1566.3154761904761,2023,FY2023-2024,03-31,04-06
28,821.8630952380952,2023,FY2023-2024,04-07,04-13
29,1178.6964285714287,2023,FY2023-2024,04-14,04-20
30,1231.1666666666667,2023,FY2023-2024,04-21,04-27
31,3316.6428571428573,2023,FY2023-2024,04-28,05-04
32,1545.1011904761904,2023,FY2023-2024,05-05,05-11
33,1549.9761904761904,2023,FY2023-2024,05-12,05-18
34,1516.4583333333333,2023,FY2023-2024,05-19,05-25
35,2036.0416666666667,2023,FY2023-2024,05-26,06-01
36,2110.7559523809523,2023,FY2023-2024,06-02,06-08
37,2311.1011904761904,2023,FY2023-2024,06-09,06-15
38,2047.3214285714287,2023,FY2023-2024,06-16,06-22
39,2171.6190476190477,2023,FY2023-2024,06-23,06-29
40,2649.2916666666665,2023,FY2023-2024,06-30,07-06
41,2599.3809523809523,2023,FY2023-2024,07-07,07-13
42,3398.214285714286,2023,FY2023-2024,07-14,07-20
43,3458.904761904762,2023,FY2023-2024,07-21,07-27
44,4191.101190476191,2023,FY2023-2024,07-28,08-03
45,5374.648809523809,2023,FY2023-2024,08-04,08-10
46,4886.297619047619,2023,FY2023-2024,08-11,08-17
47,4235.910714285715,2023,FY2023-2024,08-18,08-24
48,2855.375,2023,FY2023-2024,08-25,08-31
49,2656.0714285714284,2023,FY2023-2024,09-01,09-07
50,2641.5714285714284,2023,FY2023-2024,09-08,09-14
51,2981.2380952380954,2023,FY2023-2024,09-15,09-21
52,1259.8134715025906,2023,FY2023-2024,09-22,09-28
1,5025.714285714285,2024,FY2024-2025,10-01,10-07
2,1125.7738095238096,2024,FY2024-2025,10-08,10-14
3,1026.1904761904761,2024,FY2024-2025,10-15,10-21
4,1223.4880952380952,2024,FY2024-2025,10-22,10-28
5,949.5238095238095,2024,FY2024-2025,10-29,11-04
6,879.5952380952381,2024,FY2024-2025,11-05,11-11
7,810.1428571428571,2024,FY2024-2025,11-12,11-18
8,687.5833333333334,2024,FY2024-2025,11-19,11-25
9,727.4761904761905,2024,FY2024-2025,11-26,12-02
10,780.952380952381,2024,FY2024-2025,12-03,12-09
11,816.9404761904761,2024,FY2024-2025,12-10,12-16
12,794.297619047619,2024,FY2024-2025,12-17,12-23
13,521.5119047619048,2024,FY2024-2025,12-24,12-30
14,554.1130952380952,2024,FY2024-2025,12-31,01-06
15,493.3333333333333,2024,FY2024-2025,01-07,01-13
16,555.3809523809524,2024,FY2024-2025,01-14,01-20
17,528.1071428571429,2024,FY2024-2025,01-21,01-27
18,1325.7142857142858,2024,FY2024-2025,01-28,02-03
19,743.9702380952381,2024,FY2024-2025,02-04,02-10
20,717.2261904761905,2024,FY2024-2025,02-11,02-17
21,696.952380952381,2024,FY2024-2025,02-18,02-24
22,762.6785714285714,2024,FY2024-2025,02-25,03-03
23,780.8809523809524,2024,FY2024-2025,03-04,03-10
24,895.6071428571429,2024,FY2024-2025,03-11,03-17
25,1058.5357142857142,2024,FY2024-2025,03-18,03-24
26,982.5238095238095,2024,FY2024-2025,03-25,03-31
27,1517.2619047619048,2024,FY2024-2025,04-01,04-07
28,770.5,2024,FY2024-2025,04-08,04-14
29,1187.047619047619,2024,FY2024-2025,04-15,04-21
30,1225.75,2024,FY2024-2025,04-22,04-28
31,3552.6726190476193,2024,FY2024-2025,04-29,05-05
32,1430.6190476190477,2024,FY2024-2025,05-06,05-12
33,1540.0833333333333,2024,FY2024-2025,05-13,05-19
34,1530.8333333333333,2024,FY2024-2025,05-20,05-26
35,2797.595238095238,2024,FY2024-2025,05-27,06-02
36,1947.047619047619,2024,FY2024-2025,06-03,06-09
37,1885.5238095238096,2024,FY2024-2025,06-10,06-16
38,2076.464285714286,2024,FY2024-2025,06-17,06-23
39,2188.8333333333335,2024,FY2024-2025,06-24,06-30
40,2701.2261904761904,2024,FY2024-2025,07-01,07-07
41,2540.809523809524,2024,FY2024-2025,07-08,07-14
42,3390.3809523809523,2024,FY2024-2025,07-15,07-21
43,3458.75,2024,FY2024-2025,07-22,07-28
44,4297.964285714285,2024,FY2024-2025,07-29,08-04
45,5392.952380952381,2024,FY2024-2025,08-05,08-11
46,5077.761904761905,2024,FY2024-2025,08-12,08-18
47,4259.690476190476,2024,FY2024-2025,08-19,08-25
48,2914.7738095238096,2024,FY2024-2025,08-26,09-01
49,2684.4166666666665,2024,FY2024-2025,09-02,09-08
50,2668.7619047619046,2024,FY2024-2025,09-09,09-15
51,2252.7380952380954,2024,FY2024-2025,09-16,09-22
52,2283.076923076923,2024,FY2024-2025,09-23,09-29
